Date,Recent graduates,College graduates
1/1/1990,42.9,34.1
2/1/1990,43.2,34.1
3/1/1990,43.3,34.1
4/1/1990,44.5,34.2
5/1/1990,44.8,34.3
6/1/1990,45.0,34.2
7/1/1990,44.4,34.1
8/1/1990,43.8,33.5
9/1/1990,43.9,33.6
10/1/1990,44.1,33.7
11/1/1990,44.3,34.2
12/1/1990,44.6,34.3
1/1/1991,44.6,34.1
2/1/1991,44.6,33.9
3/1/1991,43.9,33.6
4/1/1991,43.5,33.6
5/1/1991,43.7,33.6
6/1/1991,44.1,33.7
7/1/1991,44.8,33.9
8/1/1991,44.4,33.9
9/1/1991,44.6,33.8
10/1/1991,44.6,33.7
11/1/1991,45.4,33.5
12/1/1991,45.2,33.3
1/1/1992,45.4,33.5
2/1/1992,46.4,34.1
3/1/1992,47.6,34.9
4/1/1992,48.0,35.0
5/1/1992,47.7,34.9
6/1/1992,47.3,34.6
7/1/1992,47.2,34.6
8/1/1992,47.3,34.7
9/1/1992,47.7,34.8
10/1/1992,48.2,34.7
11/1/1992,48.4,34.4
12/1/1992,48.3,34.2
1/1/1993,47.6,34.0
2/1/1993,46.9,34.0
3/1/1993,45.8,33.9
4/1/1993,45.8,34.1
5/1/1993,45.9,34.3
6/1/1993,46.4,34.4
7/1/1993,46.5,34.4
8/1/1993,46.8,34.4
9/1/1993,46.8,34.5
10/1/1993,46.6,34.3
11/1/1993,46.5,34.4
12/1/1993,46.7,34.6
1/1/1994,47.6,35.0
2/1/1994,48.1,34.9
3/1/1994,47.9,34.8
4/1/1994,47.3,34.4
5/1/1994,46.8,34.1
6/1/1994,47.1,33.9
7/1/1994,47.2,33.8
8/1/1994,46.5,33.7
9/1/1994,45.4,33.4
10/1/1994,44.5,33.4
11/1/1994,44.4,33.3
12/1/1994,44.8,33.1
1/1/1995,44.7,32.9
2/1/1995,44.9,32.5
3/1/1995,44.9,32.4
4/1/1995,45.0,32.4
5/1/1995,44.8,32.5
6/1/1995,44.6,32.7
7/1/1995,44.2,32.7
8/1/1995,44.4,32.9
9/1/1995,44.3,33.2
10/1/1995,44.2,33.2
11/1/1995,43.5,32.9
12/1/1995,42.8,32.5
1/1/1996,42.1,32.3
2/1/1996,42.1,32.6
3/1/1996,42.6,32.7
4/1/1996,43.4,33.0
5/1/1996,43.8,33.0
6/1/1996,44.2,32.8
7/1/1996,44.4,33.1
8/1/1996,43.9,33.1
9/1/1996,43.2,33.3
10/1/1996,42.8,33.2
11/1/1996,42.8,33.0
12/1/1996,42.6,32.7
1/1/1997,42.6,32.3
2/1/1997,42.0,32.1
3/1/1997,41.9,32.1
4/1/1997,41.6,32.2
5/1/1997,41.4,32.4
6/1/1997,41.0,32.5
7/1/1997,41.3,32.6
8/1/1997,40.8,32.5
9/1/1997,41.2,32.4
10/1/1997,41.0,32.6
11/1/1997,42.1,32.9
12/1/1997,41.9,33.1
1/1/1998,41.7,33.2
2/1/1998,40.7,33.1
3/1/1998,40.2,32.9
4/1/1998,39.4,32.6
5/1/1998,39.3,32.6
6/1/1998,39.6,32.6
7/1/1998,40.1,32.5
8/1/1998,40.4,32.3
9/1/1998,40.8,32.0
10/1/1998,41.2,31.8
11/1/1998,41.7,31.9
12/1/1998,41.8,32.1
1/1/1999,41.6,32.2
2/1/1999,41.5,32.3
3/1/1999,40.7,32.1
4/1/1999,40.7,31.9
5/1/1999,40.1,31.7
6/1/1999,39.6,31.6
7/1/1999,38.5,31.5
8/1/1999,38.1,31.6
9/1/1999,38.2,31.7
10/1/1999,38.4,31.9
11/1/1999,38.3,32.0
12/1/1999,38.0,31.9
1/1/2000,37.9,31.8
2/1/2000,38.0,31.7
3/1/2000,38.5,31.6
4/1/2000,38.9,31.6
5/1/2000,39.1,31.5
6/1/2000,38.1,31.4
7/1/2000,37.7,31.5
8/1/2000,37.1,31.7
9/1/2000,37.9,31.8
10/1/2000,38.7,31.9
11/1/2000,38.8,31.8
12/1/2000,38.8,31.8
1/1/2001,37.9,31.6
2/1/2001,37.4,31.7
3/1/2001,36.7,31.7
4/1/2001,36.6,31.7
5/1/2001,37.2,31.5
6/1/2001,37.9,31.5
7/1/2001,38.7,31.6
8/1/2001,38.7,31.7
9/1/2001,38.4,32.0
10/1/2001,37.9,32.0
11/1/2001,38.0,32.2
12/1/2001,38.6,32.1
1/1/2002,39.6,32.1
2/1/2002,39.8,32.2
3/1/2002,40.0,32.4
4/1/2002,38.8,32.5
5/1/2002,38.5,32.5
6/1/2002,37.8,32.6
7/1/2002,38.1,32.6
8/1/2002,38.1,32.6
9/1/2002,37.9,32.3
10/1/2002,37.6,32.1
11/1/2002,37.6,32.1
12/1/2002,38.0,32.2
1/1/2003,38.8,32.6
2/1/2003,39.4,32.8
3/1/2003,40.5,33.1
4/1/2003,41.5,33.6
5/1/2003,42.4,33.9
6/1/2003,42.4,34.0
7/1/2003,42.4,33.8
8/1/2003,42.5,33.7
9/1/2003,42.4,33.5
10/1/2003,41.8,33.5
11/1/2003,41.4,33.6
12/1/2003,41.2,33.7
1/1/2004,42.3,33.8
2/1/2004,43.3,33.8
3/1/2004,44.8,33.9
4/1/2004,45.5,33.9
5/1/2004,45.5,34.1
6/1/2004,44.8,34.3
7/1/2004,44.0,34.3
8/1/2004,43.7,34.3
9/1/2004,44.0,34.3
10/1/2004,44.6,34.2
11/1/2004,45.1,34.2
12/1/2004,44.8,34.2
1/1/2005,44.1,34.2
2/1/2005,43.7,34.3
3/1/2005,43.2,34.3
4/1/2005,43.3,34.5
5/1/2005,42.7,34.4
6/1/2005,42.6,34.4
7/1/2005,42.8,34.3
8/1/2005,42.6,34.2
9/1/2005,42.7,34.1
10/1/2005,42.8,34.2
11/1/2005,43.2,34.3
12/1/2005,43.9,34.4
1/1/2006,44.0,34.5
2/1/2006,43.5,34.5
3/1/2006,42.5,34.4
4/1/2006,41.9,34.1
5/1/2006,42.1,34.1
6/1/2006,43.0,34.1
7/1/2006,43.4,34.5
8/1/2006,43.6,34.6
9/1/2006,43.5,34.6
10/1/2006,43.6,34.6
11/1/2006,43.4,34.5
12/1/2006,43.4,34.7
1/1/2007,43.2,34.4
2/1/2007,43.0,34.2
3/1/2007,42.6,33.9
4/1/2007,42.0,33.7
5/1/2007,41.6,33.7
6/1/2007,41.3,33.8
7/1/2007,41.8,34.2
8/1/2007,42.3,34.2
9/1/2007,42.5,34.2
10/1/2007,42.0,34.1
11/1/2007,41.3,33.9
12/1/2007,40.8,33.8
1/1/2008,40.6,33.8
2/1/2008,40.9,34.0
3/1/2008,41.8,34.2
4/1/2008,43.0,34.1
5/1/2008,43.4,33.9
6/1/2008,42.9,33.5
7/1/2008,42.3,33.2
8/1/2008,42.6,33.2
9/1/2008,43.1,33.5
10/1/2008,43.3,33.7
11/1/2008,43.4,34.0
12/1/2008,43.8,34.0
1/1/2009,44.3,34.0
2/1/2009,44.5,33.9
3/1/2009,44.2,33.7
4/1/2009,44.1,33.7
5/1/2009,43.6,33.7
6/1/2009,43.6,33.7
7/1/2009,43.8,33.8
8/1/2009,44.1,34.1
9/1/2009,44.3,34.3
10/1/2009,44.1,34.3
11/1/2009,44.6,34.2
12/1/2009,44.6,34.1
1/1/2010,44.6,34.1
2/1/2010,44.6,34.1
3/1/2010,44.7,34.4
4/1/2010,44.7,34.5
5/1/2010,45.1,34.7
6/1/2010,45.5,34.8
7/1/2010,45.8,34.9
8/1/2010,45.9,35.0
9/1/2010,45.9,35.0
10/1/2010,46.1,34.9
11/1/2010,46.1,34.8
12/1/2010,45.8,34.6
1/1/2011,45.4,34.4
2/1/2011,44.4,34.2
3/1/2011,43.4,34.0
4/1/2011,42.8,34.0
5/1/2011,43.3,34.2
6/1/2011,44.0,34.4
7/1/2011,44.0,34.4
8/1/2011,43.6,34.3
9/1/2011,43.3,34.4
10/1/2011,43.7,34.5
11/1/2011,44.1,34.5
12/1/2011,45.5,34.7
1/1/2012,46.6,34.8
2/1/2012,47.4,35.0
3/1/2012,47.3,34.9
4/1/2012,46.5,34.6
5/1/2012,45.6,34.6
6/1/2012,45.2,34.6
7/1/2012,45.3,34.7
8/1/2012,45.3,34.6
9/1/2012,45.1,34.5
10/1/2012,44.7,34.3
11/1/2012,44.6,34.4
12/1/2012,44.9,34.4
1/1/2013,45.5,34.6
2/1/2013,45.7,34.7
3/1/2013,45.8,34.8
4/1/2013,45.9,34.9
5/1/2013,47.0,35.0
6/1/2013,46.5,35.0
7/1/2013,46.7,34.9
8/1/2013,46.3,34.7
9/1/2013,47.1,34.6
10/1/2013,47.4,34.6
11/1/2013,47.0,34.6
12/1/2013,46.6,34.7
1/1/2014,45.8,35.0
2/1/2014,45.6,35.1
3/1/2014,45.2,35.1
4/1/2014,45.3,34.8
5/1/2014,45.6,34.7
6/1/2014,46.1,34.7
7/1/2014,46.4,34.7
8/1/2014,46.1,34.7
9/1/2014,44.5,34.7
10/1/2014,43.7,34.4
11/1/2014,43.2,34.3
12/1/2014,43.5,34.3
1/1/2015,43.8,34.4
2/1/2015,44.4,34.7
3/1/2015,45.4,34.8
4/1/2015,45.5,34.8
5/1/2015,45.6,34.8
6/1/2015,45.2,34.6
7/1/2015,44.8,34.6
8/1/2015,44.5,34.5
9/1/2015,43.7,34.5
10/1/2015,44.5,34.6
11/1/2015,45.3,34.7
12/1/2015,46.6,35.0
1/1/2016,46.4,34.9
2/1/2016,45.0,34.7
3/1/2016,43.8,34.2
4/1/2016,43.3,34.0
5/1/2016,43.6,34.0
6/1/2016,43.3,34.0
7/1/2016,43.5,34.1
8/1/2016,43.7,34.3
9/1/2016,44.2,34.6
10/1/2016,43.9,34.7
11/1/2016,43.4,34.8
12/1/2016,43.9,34.8
1/1/2017,44.5,34.8
2/1/2017,44.9,34.7
3/1/2017,44.5,34.7
4/1/2017,44.2,34.5
5/1/2017,43.8,34.3
6/1/2017,43.2,34.2
7/1/2017,42.8,34.3
8/1/2017,42.8,34.7
9/1/2017,43.0,34.7
10/1/2017,43.6,34.7
11/1/2017,43.4,34.4
12/1/2017,43.1,34.4
1/1/2018,42.2,34.0
2/1/2018,41.6,33.8
3/1/2018,41.7,33.7
4/1/2018,41.9,34.0
5/1/2018,41.9,34.3
6/1/2018,42.0,34.6
7/1/2018,41.2,34.5
8/1/2018,40.8,34.5
9/1/2018,40.4,34.2
10/1/2018,41.0,34.1
11/1/2018,41.9,34.1
12/1/2018,42.5,34.1
1/1/2019,42.3,34.1
2/1/2019,41.8,34.2
3/1/2019,41.3,34.2
4/1/2019,41.1,34.3
5/1/2019,41.5,34.4
6/1/2019,41.2,34.3
7/1/2019,40.9,34.2
8/1/2019,40.4,34.0
9/1/2019,41.4,34.0
10/1/2019,42.1,33.8
11/1/2019,42.6,33.6
12/1/2019,41.6,33.4
1/1/2020,41.3,33.6
2/1/2020,41.4,33.9
3/1/2020,41.6,34.1
4/1/2020,40.5,33.4
5/1/2020,39.0,32.6
6/1/2020,38.1,31.8
7/1/2020,39.1,32.0
8/1/2020,41.1,32.5
9/1/2020,43.0,33.1
10/1/2020,43.4,33.5
11/1/2020,42.3,33.5
12/1/2020,40.9,33.4
1/1/2021,40.3,33.3
2/1/2021,40.1,33.3
3/1/2021,40.2,33.5
4/1/2021,40.5,33.6
5/1/2021,40.5,33.7
6/1/2021,40.6,33.7
7/1/2021,40.7,33.3
8/1/2021,41.2,33.2
9/1/2021,41.4,33.1
10/1/2021,41.6,33.5
11/1/2021,41.6,33.6
12/1/2021,41.7,33.9
1/1/2022,41.6,33.9
2/1/2022,41.4,33.9
3/1/2022,41.2,33.7
4/1/2022,41.2,33.7
5/1/2022,41.0,33.6
6/1/2022,40.8,33.5
7/1/2022,40.1,33.1
8/1/2022,40.1,33.1
9/1/2022,39.6,33.0
10/1/2022,39.6,33.3
11/1/2022,39.0,33.4
12/1/2022,38.4,33.4
1/1/2023,38.1,33.3
2/1/2023,38.6,33.2
3/1/2023,39.3,33.1
4/1/2023,39.6,33.0
5/1/2023,39.3,33.0
6/1/2023,40.0,33.3
7/1/2023,40.0,33.5
8/1/2023,40.5,33.5
9/1/2023,40.2,33.2
10/1/2023,40.4,32.8
11/1/2023,40.3,32.5
12/1/2023,40.5,32.4
1/1/2024,40.8,32.6
2/1/2024,41.0,32.9
3/1/2024,40.7,33.1
4/1/2024,40.7,33.2
5/1/2024,40.5,33.1
6/1/2024,40.5,33.0
7/1/2024,40.6,32.8
8/1/2024,40.7,32.8
9/1/2024,40.5,32.8
10/1/2024,39.7,32.9
11/1/2024,39.3,32.9
12/1/2024,38.8,33.0
1/1/2025,39.2,33.3
2/1/2025,40.3,33.5
3/1/2025,41.3,33.5
4/1/2025,41.2,33.4
5/1/2025,41.1,33.4
6/1/2025,41.3,33.7
7/1/2025,41.7,34.1
8/1/2025,41.7,34.1
9/1/2025,41.9,34.2
10/1/2025,42.3,34.3
11/1/2025,42.5,34.5
12/1/2025,42.5,34.4
